Time,pair,open,high,low,close,volume,rsi_6,macd
2017-11-29 07:00:00,ETH/USDT,467.46,469.97,461.0,466.0,606.3343,46.44578019411074,-0.9395231769571524
2017-11-29 08:00:00,ETH/USDT,466.0,466.71,462.19,466.17,468.88804,47.08447609842107,-0.9440387839101732
2017-11-29 09:00:00,ETH/USDT,466.17,472.97,462.8,470.8,1060.92377,61.92510891084253,-0.5674736465210231
2017-11-29 10:00:00,ETH/USDT,470.86,472.35,465.0,469.59,1092.47342,56.918873782441544,-0.3625012608569591
2017-11-29 11:00:00,ETH/USDT,465.12,480.0,465.12,476.07,1605.01701,71.64849242849942,0.3191437850149441
2017-11-29 12:00:00,ETH/USDT,476.07,479.5,469.01,472.93,1529.00158,59.766296980330836,0.5990748746864369
2017-11-29 13:00:00,ETH/USDT,472.67,477.91,470.3,474.25,1240.61712,62.872374820439006,0.9168661856862172
2017-11-29 14:00:00,ETH/USDT,474.21,476.8,455.0,456.06,2499.84764,27.616518372138827,-0.29565476650134315
2017-11-29 15:00:00,ETH/USDT,459.34,471.0,455.0,457.24,1741.53677,30.64402992554797,-1.1481352302777168
2017-11-29 16:00:00,ETH/USDT,458.47,466.96,457.24,464.45,1650.87725,46.92186083065219,-1.2277921722076712
2017-11-29 17:00:00,ETH/USDT,464.43,470.49,464.02,469.08,953.9841,55.05123983423211,-0.9068647942643793
2017-11-29 18:00:00,ETH/USDT,470.4,472.0,468.01,470.05,1006.76914,56.71780739901447,-0.5677124064823715
2017-11-29 19:00:00,ETH/USDT,470.1,475.0,469.22,473.22,932.08475,62.21226518633555,-0.0426475738158274
2017-11-29 20:00:00,ETH/USDT,473.26,476.5,469.54,474.9,1874.81618,65.0350619842838,0.5032311135875602
2017-11-29 21:00:00,ETH/USDT,475.0,506.0,474.51,505.46,3026.24309,86.70850491280429,3.3630137762131085
2017-11-29 22:00:00,ETH/USDT,505.49,515.0,496.11,500.41,2485.37166,77.21715052608526,5.162410292216407
2017-11-29 23:00:00,ETH/USDT,500.41,505.09,493.9,501.99,1694.04033,78.11650347038396,6.639402886894629
2017-11-30 00:00:00,ETH/USDT,501.99,502.98,468.0,484.96,5138.35935,51.71303610127343,6.362409587717821
2017-11-30 01:00:00,ETH/USDT,484.55,488.04,476.03,483.85,1843.73918,50.381123904810316,5.984338944912906
2017-11-30 02:00:00,ETH/USDT,480.03,482.95,470.0,470.97,1370.16278,37.08222973337852,4.592467769553934
2017-11-30 03:00:00,ETH/USDT,470.0,477.81,458.0,458.09,1240.97492,28.16174450132334,2.4221702074402742
2017-11-30 04:00:00,ETH/USDT,460.88,469.17,385.0,419.76,5674.33337,15.148324598797117,-2.3634722723632535
2017-11-30 05:00:00,ETH/USDT,419.0,449.97,398.91,405.0,4013.90594,12.482850620672124,-7.263409004148173
2017-11-30 06:00:00,ETH/USDT,409.97,437.86,400.05,432.97,2192.98765,37.49339359474478,-8.788391811054908
2017-11-30 07:00:00,ETH/USDT,432.0,437.0,420.0,434.0,2024.7564,38.272921530879515,-9.80086105508667
2017-11-30 08:00:00,ETH/USDT,434.0,438.33,411.0,421.7,3420.67231,32.470107844990494,-11.46361204622167
2017-11-30 09:00:00,ETH/USDT,421.92,439.0,417.33,436.23,2152.59844,44.41645208597567,-11.476609409119817
2017-11-30 10:00:00,ETH/USDT,434.72,450.86,431.0,450.77,2356.80014,54.155310330253506,-10.196118916699561
2017-11-30 11:00:00,ETH/USDT,449.06,449.13,436.19,444.69,1340.96539,49.77881237648997,-9.561704782561776
2017-11-30 12:00:00,ETH/USDT,445.24,451.97,444.0,450.23,1310.22447,53.85623854614493,-8.513754053165258
2017-11-30 13:00:00,ETH/USDT,450.22,460.0,447.97,449.11,1691.35261,52.81595021057228,-7.685031925539363
2017-11-30 14:00:00,ETH/USDT,449.26,451.58,434.0,439.42,1557.1742,43.993432147659945,-7.721160948903275
2017-11-30 15:00:00,ETH/USDT,441.14,443.0,418.07,426.01,3532.99547,34.439699929153306,-8.731220315369
2017-11-30 16:00:00,ETH/USDT,426.0,436.81,423.03,434.43,1745.52528,43.658569099724566,-8.75139537097192
2017-11-30 17:00:00,ETH/USDT,434.47,447.5,431.87,441.8,1819.40279,50.90916615697188,-8.079550809168154
2017-11-30 18:00:00,ETH/USDT,441.94,446.99,436.94,440.98,1306.30681,50.0492208526542,-7.526515317052201
2017-11-30 19:00:00,ETH/USDT,440.98,442.3,415.49,415.49,1928.79427,30.703088920576647,-9.04084346064161
2017-11-30 20:00:00,ETH/USDT,416.42,433.62,415.16,422.0,2748.17524,38.04283084564486,-9.604937094956597
2017-11-30 21:00:00,ETH/USDT,421.57,425.99,416.02,423.04,1851.90246,39.27582810502352,-9.85446986150015
2017-11-30 22:00:00,ETH/USDT,423.43,423.47,390.0,393.85,3776.60025,23.514598096446065,-12.266218098974434
2017-11-30 23:00:00,ETH/USDT,393.85,408.66,387.01,405.9,3119.61296,36.19793891718751,-13.054724916380394
2017-12-01 00:00:00,ETH/USDT,405.88,410.0,388.98,392.77,2305.28738,29.747802200535006,-14.571136526412147
2017-12-01 01:00:00,ETH/USDT,392.76,400.0,389.0,399.01,2181.81026,36.22837874949296,-15.0953776849679
2017-12-01 02:00:00,ETH/USDT,399.43,410.0,393.56,408.02,1274.45215,45.01670095652744,-14.615334402526287
2017-12-01 03:00:00,ETH/USDT,408.99,420.0,407.25,412.3,1397.98569,49.02137227857574,-13.731251096880783
2017-12-01 04:00:00,ETH/USDT,414.7,433.0,412.3,431.09,1244.80258,63.157946305706716,-11.383194363433347
2017-12-01 05:00:00,ETH/USDT,431.09,432.99,412.19,416.75,1070.62264,50.36692821370165,-10.557757385793082
2017-12-01 06:00:00,ETH/USDT,416.74,432.44,416.74,428.6,929.47448,58.667678633258696,-8.845432034242549
2017-12-01 07:00:00,ETH/USDT,429.0,438.8,427.1,430.88,1098.5333,60.20434505293968,-7.221183601725727
2017-12-01 08:00:00,ETH/USDT,430.01,441.0,427.43,427.43,1442.82339,56.39708982381827,-6.141545273096142
2017-12-01 09:00:00,ETH/USDT,428.05,432.11,418.33,421.42,1325.87305,49.812093012450546,-5.7051158672113615
2017-12-01 10:00:00,ETH/USDT,421.38,423.99,416.39,421.72,1532.11545,50.16067030806024,-5.2742368071340024
2017-12-01 11:00:00,ETH/USDT,422.56,427.81,417.12,426.12,1971.42264,55.589412279592736,-4.52555108420006
2017-12-01 12:00:00,ETH/USDT,426.55,427.67,420.75,426.01,1125.83309,55.40835187173484,-3.896175647893358
2017-12-01 13:00:00,ETH/USDT,427.27,432.93,423.75,430.9,966.11991,62.009297509029395,-2.968588902662816
2017-12-01 14:00:00,ETH/USDT,431.0,431.33,420.22,422.09,742.87791,46.97540449195746,-2.910809100528809
2017-12-01 15:00:00,ETH/USDT,422.15,425.04,416.42,417.98,893.432,41.3615789415248,-3.1602316589648467
2017-12-01 16:00:00,ETH/USDT,417.69,422.56,413.74,418.8,2056.68401,42.99264865804185,-3.254221051939396
2017-12-01 17:00:00,ETH/USDT,419.81,428.0,418.73,427.02,1701.08124,57.28515275930735,-2.6350478293189212
2017-12-01 18:00:00,ETH/USDT,427.28,433.5,424.03,432.02,1367.8362,63.892849605799704,-1.7210511696667936
2017-12-01 19:00:00,ETH/USDT,433.0,437.34,427.71,428.48,1648.3392,56.471013824671644,-1.2677369643021166
2017-12-01 20:00:00,ETH/USDT,428.48,434.89,427.7,433.0,1341.32119,63.047826727912486,-0.5375593166311887
2017-12-01 21:00:00,ETH/USDT,433.16,450.0,433.0,442.43,2318.54775,73.18927529274833,0.7928939323033433
2017-12-01 22:00:00,ETH/USDT,442.43,457.83,440.21,456.32,2949.28904,81.94686283894748,2.9342701936360527
2017-12-01 23:00:00,ETH/USDT,453.59,456.48,439.1,443.97,2064.27155,60.76820983794863,3.5933624759492773
2017-12-02 00:00:00,ETH/USDT,443.97,449.5,441.0,446.66,1957.7928,63.25066844117996,4.283382213078539
2017-12-02 01:00:00,ETH/USDT,448.23,450.0,443.73,449.99,1244.32182,66.40821771106116,5.040823520366871
2017-12-02 02:00:00,ETH/USDT,449.99,450.0,446.54,447.68,679.52748,61.975503347422475,5.392541655474588
2017-12-02 03:00:00,ETH/USDT,447.68,453.0,447.68,452.03,693.90564,66.9592538434558,5.953659377790245
2017-12-02 04:00:00,ETH/USDT,452.0,456.0,450.07,454.58,1075.88337,69.74841213789064,6.528852358205029
2017-12-02 05:00:00,ETH/USDT,456.0,465.0,454.79,461.13,969.77414,75.9945952844811,7.427606375815401
2017-12-02 06:00:00,ETH/USDT,461.9,465.0,458.85,463.01,742.4015,77.5884071595393,8.197084806982332
2017-12-02 07:00:00,ETH/USDT,463.02,465.97,455.05,456.4,883.94797,60.609993217041506,8.17924500454069
2017-12-02 08:00:00,ETH/USDT,456.39,459.0,451.0,457.51,819.621,62.273591670180906,8.160604190610115
2017-12-02 09:00:00,ETH/USDT,457.53,463.54,457.0,460.32,1539.50569,66.56349858557155,8.277160770116382
2017-12-02 10:00:00,ETH/USDT,460.9,469.75,460.21,467.37,1602.05337,75.09101379977403,8.836546571494523
2017-12-02 11:00:00,ETH/USDT,467.37,468.48,462.44,465.0,1591.26955,68.08613200411192,8.985050586004604
2017-12-02 12:00:00,ETH/USDT,464.99,465.0,459.12,460.8,1244.162,56.815205546317856,8.663963411207533
2017-12-02 13:00:00,ETH/USDT,460.8,461.0,448.01,455.01,1663.32573,44.60120212623575,7.851784417720296
2017-12-02 14:00:00,ETH/USDT,455.2,459.89,451.07,459.01,1021.27969,52.9809340638502,7.445071138860271
2017-12-02 15:00:00,ETH/USDT,459.89,464.99,459.02,463.04,1157.57884,60.250206745292616,7.363058499994281
2017-12-02 16:00:00,ETH/USDT,463.03,466.0,458.71,463.55,699.17709,61.16204886632805,7.255577845612208
2017-12-02 17:00:00,ETH/USDT,463.54,464.34,462.16,462.39,1483.74281,57.55824319266167,6.996149095362796
2017-12-02 18:00:00,ETH/USDT,462.65,471.91,460.0,469.64,2031.23088,70.56573992688827,7.291512335533639
2017-12-02 19:00:00,ETH/USDT,469.71,471.9,465.0,465.04,1199.13025,57.21485018591489,7.072876556914991
2017-12-02 20:00:00,ETH/USDT,465.44,466.99,455.0,459.33,1879.15902,44.63554453975025,6.36547956162218
2017-12-02 21:00:00,ETH/USDT,459.93,461.69,457.32,461.2,1069.73987,49.03880384856152,5.887883858055204
2017-12-02 22:00:00,ETH/USDT,461.46,465.0,458.58,459.33,1135.43255,44.76636094792638,5.297427009299838
2017-12-02 23:00:00,ETH/USDT,460.62,462.0,445.7,455.01,1160.03744,36.057596246764895,4.429833443929567
2017-12-03 00:00:00,ETH/USDT,455.68,460.0,445.0,450.01,952.87855,28.38751944158669,3.3007520642927943
2017-12-03 01:00:00,ETH/USDT,450.02,455.71,448.9,455.71,782.82702,44.52933587929733,2.8332295923347033
2017-12-03 02:00:00,ETH/USDT,455.31,461.63,452.09,458.0,735.46587,49.96643226261611,2.617327603281126
2017-12-03 03:00:00,ETH/USDT,457.77,462.98,457.77,461.18,660.76812,56.991226498458886,2.672021741734511
2017-12-03 04:00:00,ETH/USDT,461.17,461.18,457.58,457.7,385.39885,48.11918147907502,2.406816046884785
2017-12-03 05:00:00,ETH/USDT,458.35,460.56,456.3,456.72,583.43069,45.714288386695365,2.093429066055137
2017-12-03 06:00:00,ETH/USDT,456.72,461.0,456.72,461.0,317.20708,56.98181445366147,2.165465715649475
2017-12-03 07:00:00,ETH/USDT,460.97,461.16,456.3,459.01,509.44981,51.06782005201096,2.0384805754097215
2017-12-03 08:00:00,ETH/USDT,459.0,460.0,456.5,457.63,391.88923,47.007854740334615,1.8056747752171987
2017-12-03 09:00:00,ETH/USDT,457.31,462.5,453.5,454.71,894.76747,39.11244035535485,1.3697651052633546
2017-12-03 10:00:00,ETH/USDT,455.32,457.36,452.65,457.0,804.0454,47.42306452026345,1.1953086390001886
2017-12-03 11:00:00,ETH/USDT,456.91,459.43,456.3,457.82,879.44775,50.33584490960625,1.1104175769536369
2017-12-03 12:00:00,ETH/USDT,457.38,457.74,453.54,456.29,507.63725,44.78107798032265,0.9092018721939894
2017-12-03 13:00:00,ETH/USDT,456.31,462.67,456.0,460.15,449.38071,58.609348349587435,1.0491131932832332
2017-12-03 14:00:00,ETH/USDT,461.04,463.0,459.01,463.0,931.16943,66.12544474681492,1.3741250466347879
2017-12-03 15:00:00,ETH/USDT,461.88,465.0,461.88,465.0,874.59387,70.61839827605361,1.7726485779314771
2017-12-03 16:00:00,ETH/USDT,465.02,466.99,464.63,466.54,691.94438,73.82613130093085,2.187529993301496
